Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Link
Arnold Audi,@ArnoldAudi8,"Kindly sir, kindly check on the issue of power blackout in suneka kisii county, now two weeks without power due to transformer, your team are in the ground doing illegal connections, even asking money form the community.",30-Mar,,,,,
Arnold Audi,@ArnoldAudi8,"@KenyaPower
Suneka, kisii county has been having blackout for the two weeks, our businesses and food stuffs are rotting in the fridge, yet we see your employees collecting money to connect illegal connections, so how reliable is your service?",30-Mar,,,,,
Eliud,@Eliud34511144,"@KenyaPower, Good evening Team, In my sitting room with my kerosene lamp. 
I paid for electricity connection  & even filled supply contract form with all required documents attached in Nakuru, how long does it take to be connected?",29-Mar,,,,,
Marcus,@AmDASHY,"oi @KenyaPower_Care @KenyaPower what happened to our power connection??? Kikuyu area was not listed as part of the affected areas today but we've had no power for a while now... Whats happening?

@KIMANIICHUNGWAH  talk to these folks please!",29-Mar,,,4,,
KingMihambo,@KingMihambo,I applied for a new connection and was told the post that is near my gate can't be connected to its illegal connection. I have to pay for 8 posts . Why are people using the same line? Why is the line still there...why hamja disconnect hio line then...?,27-Mar,,,5,,
Akaco Adeke,@Adekeakaco,@KenyaPower how long does it take for one to get a quotation for electricity connection?,25-Mar,,,,,
ritho,@rzmwangi,"@KenyaPower E28252023080064,how much pain must a customer endure to get connected? Several trips to same office and more of the same ,no connection yet.",25-Mar,,,,,
@nduta,@nduta,"Till now, we still do not gave power. What time will it be restored? Our transformer is overwhelmed with so many connections than required. So we are always having disconnections.",22-Mar,,,,,
The Kenya Power & Lighting Company Plc.,@KenyaPower,"Ushajenga keja pale ocha lakini there’s that final piece to the puzzle - Stima! 

Kenya Power has made it easy for you to apply for an electricity connection. ^JC",15-Mar,32,9,40,,
Dark Black,@AMacheusi,"If he has no connections at work, he might just exit Kenya Power cos of this",14-Mar,1,,1,,
Ian Duncan Obura,@IanObura,"@KenyaPower_Care @KenyaPower at. At Dandora. phase 5 ""sharp Kona""we have irregular power black outs 2nd week now,some cartels (mulika mwizi) are interfering with the connections on the transformers at night,please help us. Have constant power supply,@KenyaPowarCare",11-Mar,,,,,
Becky Twish,@Btwish,@KenyaPower kindly check on the power connection around Muthiga area towards Gaitumbi. No power since  8pm,9-Mar,,1,,,
Lab Technologist,@O46430409Philip,Have tried that but connection fail is what I'm seeing in screen,8-Mar,,,1,,
Butere Man,@mundeshe,"@KenyaPower , I am getting frustrated, help me get power connection from your kakamega branch, since last year March I paid, I am being referred from one person to another, travelling from Butere to kakamega  ni 1k kwenda na kurudi , kwani nachuna pesa kwa miti?",7-Mar,,,4,,
Ken Kendrick,@KKendrick0,"@orengo_james @SamuelAtandi We need electricity connection in kodiere area and the and the neighbourhood to be connected to the grid, so that insecurity ina that place can be contained. @NPSOfficial_KE @IG_NPS @KenyaPower_Care @KenyaPower_Care @KenyaPower",7-Mar,,,1,,
Martin Chege,@SmurfShei,What's there to celebrate?.. The employees at Donhlom (Likoni rd)are very rude mostly the connection department which has no customer service or attention.,5-Mar,,,,,
Cobi Mahavishni,@cobmahavishnu,@KenyaPower_Care how do i topup when my CIU is showing connection fail - i tried at my neighbours still same! Any advice please as i dont have any more credits @KenyaPower,4-Mar,,,1,,
Boniventure,@Bonymuthengi,That's just a loose connection,4-Mar,,,,,
IBRAHIM MUHORO,@Ibrahim_Muhoro,Future connections should consider such a case scenario and improve to avoid such a heavy task next time.,2-Mar,,,,,
Francis Kamau.,@kamaufrancis70,With no connections labda tupige nduru X,1-Mar,1,,,,
Ndekei Mburu,@ndekei_Mburu,Today they are only doing New connections.,1-Mar,,,,,
The Kenya Power & Lighting Company Plc.,@KenyaPower,"New month, new connections!
Kickstart your month by requesting a power connection to light up your home. ^JC",1-Mar,12,6,30,,
Felix Mick,@FelixMick2,"Hello @KenyaPower_Care  
When registering...
What am I supposed to enter as my account number coz it's indicating isn't valid ...
@KenyaPower ....
Or should I possess any connection for assistance",11-Feb,,,,,
Liej Mumbo,@gmagak,We are also experiencing a blackout at the moment in Muhoroni? @KenyaPower any connections to the TZ blackout?,3-Feb,,,,,
Emmanuel Manyasa,@ManyasaChebi,"I paid @KenyaPower @KenyaPower_Care money for power connection in Kakamega County in OCTOBER 2022. The post from which they are to drop power to my house is 10 metres from the house. I AM STILL WAITING IN FEBRUARY 2024, WITH NO DATE FOR CONNECTION SET!!!",2-Feb,,,1,,
Jidraph Thiong'o,@Pst_Thiongo,@KenyaPower I would like to express my concern on KPLC connection that we paid for on 18/10/2023.  reference E28212023040012The delay is specifically at the Limuru Construction team.,29-Jan,,,,,
Johnson Muthui,@jnmuts,I've been  to a @KenyaPower office to follow up for a connection which was paid for 6months ago only to find the office in blackout! Some staff had already left for the day at 10am & I couldn't get any help since no one could access @KenyaPower_Care  system to check status,29-Jan,1,,1,,
Johnson Muthui,@jnmuts,"Ni ukweli mtupu, umeme haupatikani masaa ya kazi!  In fact getting power connection from @KenyaPower is like a favour they're doing to you yet you're paying!",29-Jan,,,,,
Nguna Mgeni,@melodie_estar,@KenyaPower @KenyaPower_Care it has been 4 days since we had lights.Everytime we visit your power station @kerugoya they say the vehicle has no fuel for them to come and check. Nor do you answer our calls..Note it is a whole 3 phase connection. Location Kamuiru Boys transformer.,28-Jan,,,1,,
Top G,@KotutAlbert,@KenyaPower my prepaid metre is not responding to any token entered.  I think It's lost connection metre No: 37207252414,23-Jan,1,,1,,
The Kenya Power & Lighting Company Plc.,@KenyaPower,"We advise potential customers to follow this link https://kplc.co.ke/content/item/793…, MyPower App, or dial *977# to and apply for a new connection 

Tutakusort chap chap!
#PoweringTheNationKE 
#LastMileKE",23-Jan,3,2,3,,
WEDDINGSBYRUE,@weddingsbyrue,"You guys are literally making your job to be the customer’s job. We have to be at work, bado sisi ndio tutachunga watu wasimake illegal connections ?Case and example; our mtaa has not had lights for the past three days & kplc guys came and took our transformer because of overload",18-Jan,1,,1,,
Johnson Muthui,@jnmuts,@KenyaPower_Care @KenyaPower is there turn around time between power connection application submission and construction? How long should one wait for their connection after paying the quoted price? Cc @JosephSiror,17-Jan,,,,,
DCK@dck,@DaviesKisiero2,"Kindly request your Bungoma office to finish up the pending project of power connection in Kabkara kibindoi areas in Sirisia constituency,the contractor disappeared since November with 70% done,residents are anxious about this commodity which is also revenue.",11-Jan,1,1,,,
Bett_Snr,@bett_snr,"@KenyaPower My token is not working just tried all the trouble shoot processes to no avail, I have new batteries,  tried at neighbors but the connection just comes for a few minutes then it snaps.",4-Jan,1,,1,,
Ukweli,@AcheniUongo,"@KenyaPower @RERECMashinani @Energy_KE @KenGenKenya @KETRACO1 @EPRA_Ke @GDCKenya 
what happened to the rural electrification project? we cannot afford #electricity connection fee of 200,000kshs in #katani mlolongo
NHIF zakayo charlene ruto",2-Jan,1,,,,
Barney,@powerhauz,"It's funny how @KPLC_Cares @KenyaPower is running into losses yet we have consumers ready for connection in Joska and its Environs who have resorted to Solar, me included after getting false promises from their Tala office to an extent of getting ridiculous quotes.",1-Jan,3,1,1,,
Top G,@KotutAlbert,@KenyaPower my prepaid metre is not responding to any token entered.  I think It's lost connection metre No: 37207252414,23-Jan,1,,1,,
The Kenya Power & Lighting Company Plc.,@KenyaPower,"We advise potential customers to follow this link https://kplc.co.ke/content/item/793…, MyPower App, or dial *977# to and apply for a new connection 

Tutakusort chap chap!
#PoweringTheNationKE 
#LastMileKE",23-Jan,3,2,3,,
WEDDINGSBYRUE,@weddingsbyrue,"You guys are literally making your job to be the customer’s job. We have to be at work, bado sisi ndio tutachunga watu wasimake illegal connections ?Case and example; our mtaa has not had lights for the past three days & kplc guys came and took our transformer because of overload",18-Jan,1,,1,,
Johnson Muthui,@jnmuts,@KenyaPower_Care @KenyaPower is there turn around time between power connection application submission and construction? How long should one wait for their connection after paying the quoted price? Cc @JosephSiror,17-Jan,,,,,
DCK@dck,@DaviesKisiero2,"Kindly request your Bungoma office to finish up the pending project of power connection in Kabkara kibindoi areas in Sirisia constituency,the contractor disappeared since November with 70% done,residents are anxious about this commodity which is also revenue.",11-Jan,1,1,,,
Bett_Snr,@bett_snr,"@KenyaPower My token is not working just tried all the trouble shoot processes to no avail, I have new batteries,  tried at neighbors but the connection just comes for a few minutes then it snaps.",4-Jan,1,,1,,
Ukweli,@AcheniUongo,"@KenyaPower @RERECMashinani @Energy_KE @KenGenKenya @KETRACO1 @EPRA_Ke @GDCKenya 
what happened to the rural electrification project? we cannot afford #electricity connection fee of 200,000kshs in #katani mlolongo
NHIF zakayo charlene ruto",2-Jan,1,,,,
Barney,@powerhauz,"It's funny how @KPLC_Cares @KenyaPower is running into losses yet we have consumers ready for connection in Joska and its Environs who have resorted to Solar, me included after getting false promises from their Tala office to an extent of getting ridiculous quotes.",1-Jan,3,1,1,,
