Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Link
gilbert kaunda stima,@SuufStima,@KenyaPower what is prepay bill number,31-May-16,,,1,https://x.com/SuufStima,https://x.com/SuufStima
Sack of cool vibes,@79patrickm,"@kenyapower @kenyapower_care power outage Gwa-Kairu, Ruiru. Rudisheni stima bana. Acc No :2424795-01",15-Apr-16,,,1,https://x.com/79patrickm,https://x.com/79patrickm
Njeru,@NjeruSamuel,@KenyaPower @KenyaPower_Care  HAKUNA STIMA KITALE HAPA KWA GATUA CC @ConsumersKenya,29-May-16,,,1,https://x.com/NjeruSamuel,https://x.com/NjeruSamuel
Njeru,@NjeruSamuel,"rudisha Stima Kitale bwana, on! Off the whole day? Cc @KenyaPower_Care @ConsumersKenya",24-Jun-16,,,1,https://x.com/NjeruSamuel,https://x.com/NjeruSamuel
JUZTUZ K Wa ARSENAL,@juztuz,"@KenyaPower you people mean that machakos yote hakuna mtu amelipa stima..ndo mtueke kwa giza ivi. 
#FeelingpissedOff",11-Jul-16,,,1,https://x.com/juztuz,https://x.com/juztuz
Izoh-OH,@IMwenesa,@kenyapower ni tweet yangu hamuoni au pia huko hakuna stima?,17-May-16,,,,https://x.com/IMwenesa,https://x.com/IMwenesa
Adannur Mohamed,@Adannur_Mohamed,maziwa zimeharibika kwa maduka zetu tangu Tuesday ref ni 2700731  crew came and left bila kurudisha stima,13-May-16,,,,https://x.com/Adannur_Mohamed,https://x.com/Adannur_Mohamed
Slimshady,@tuwei_ignecious,@KenyaPower   Halafu kuna venye hii stima yenu hupoteanga tu a night when there's gonna be a cat the next day,24-Feb-16,,,,https://x.com/tuwei_ignecious,https://x.com/tuwei_ignecious
Nanzenzyko Nanzenz,@Cookshey,"@KenyaPower mbona madharau hivi.Rudisheni stima Membley Estate, Ruiru.Hii ni masaa gani ya kuoga na naji baridi?BLACKOUT @ MEMBLEY!!!!!!!",17-May-16,,,,https://x.com/Cookshey,https://x.com/Cookshey
Delight,@Sh_roh,@KenyaPower bana wacheni jokes rudisheni stima,8-Jul-16,,,,https://x.com/Sh_roh,https://x.com/Sh_roh
Em Sefwee,@Indakwa,"@KenyaPower where are my units? KA70STHPTM Confirmed Ksh1,500. sent to OKOA STIMA 1  for account 01450123805 on 7/1/16 at 3:05 PM New M-PESA",7-Jan-16,,,1,https://x.com/Indakwa,https://x.com/Indakwa
Wanjiru,@RaquelShiro,@KenyaPower  mkikuja kukata stima hua hamwitishi directions lakini zikiharibika niwapee account number mnaitisha directions,29-Feb-16,,,,https://x.com/RaquelShiro,https://x.com/RaquelShiro
JUZTUZ K Wa ARSENAL,@juztuz,"@KenyaPower @kenyapower_care. you people mean that machakos
yote hakuna mtu amelipa stima..ndo mtueke kwa
giza ivi. #FeelingpissedOff",11-Jul-16,,,,https://x.com/juztuz,https://x.com/juztuz
Sheila Chumo,@ms_chumo,@KenyaPower the guards at the Stima Plaza reception and at the entrance a big shame! Shame and Shame!,22-Mar-16,,,,https://x.com/ms_chumo,https://x.com/ms_chumo
Nanzenzyko Nanzenz,@Cookshey,"@KenyaPower sincerely since 8am uscheduled blackout in Membley,http://Ruiru.Now its 6am and still no stima. Acc 14244981115",2-Nov-16,,,,https://x.com/Cookshey,https://x.com/Cookshey
Your Highness,@LeeHerbAlit,Better be quick on it... ama tuanze kung'oa post za stima...,6-Aug-16,,,,https://x.com/LeeHerbAlit,https://x.com/LeeHerbAlit
Mistanewa tech,@djmistanewa,"@kenyapower mtaaddress issue SAA ngapi,,Mumias tunataka stima https://instagram.com/p/BKbQ3vdgRno/",16-Sep-16,,,,https://x.com/djmistanewa,https://x.com/djmistanewa
Mistanewa tech,@djmistanewa,"@kenyapower battery about to die,,mumias stima iregeshwe
mistanewa@gmail.com",12-Sep-16,,,,https://x.com/djmistanewa,https://x.com/djmistanewa
Mistanewa tech,@djmistanewa,@kenyapower some parts of mumias hatuna stima,26-Sep-16,,,,https://x.com/djmistanewa,https://x.com/djmistanewa
Mistanewa tech,@djmistanewa,"@kenyapower do something stima irudi Mumias #NoPowerInMumias
mistanewa@gmail.com",12-Sep-16,,,,https://x.com/djmistanewa,https://x.com/djmistanewa
...,@MeshackCfc,"@KenyaPower Stima#3706344-01#Transformer next to Kalanzoni Pri Sch, Mks County, TOTALLY messed-up my Vacation back 2my beloved country.Wazup",6-Jan-16,,,,https://x.com/MeshackCfc,https://x.com/MeshackCfc
Peddler,@njorogewamani,"@kenyapower,registered my meter 14107440977 for okoa stima,but being prompted to register everytime i dial *885#",3-Jan-16,,,,https://x.com/njorogewamani,https://x.com/njorogewamani
THEE MECHANIC 4.0,@supasta45,@kenyapower @kenyapower_care stima roysa mmeamua aje,1-Jan-16,,,2,https://x.com/supasta45,https://x.com/supasta45
THEE MECHANIC 4.0,@supasta45,@KenyaPower @KenyaPower_Care we kunaenda aje stima imepotea hii mapema yote roysambu,1-Jan-16,,,1,https://x.com/supasta45,https://x.com/supasta45
