Author,Handle,Post,Date,Likes
Waceke Mwangi,@NeliusMwangi13,"The area mentioned needs a transformer replacement,it's not a one person problem",Jul-25,
Joseph kiarie,@Mfalmeyusuf,So mliamua kuchukua transformer hapa ruai shule na hamrudish,Jul-25,
Superprodusir,@Superprodusir,"@KenyaPower_Care one of your transformers malfunctioned 3 days ago. We have not had electricity and that affects water in our area. Kindly assist acc: 13185095
Eastern Bypass,Sunrise Estate 1st Sunrise Avenue near The Mark Hotel",Jul-25,
EMMA KARIS,@karis_emma,"@KenyaPower_Care 
It's been 4days since the transformer blew at sunton and nothing has been done yet
#OccupyCBDThursday 
#Sifuna",Jul-25,
ZUKA (luke5:4),@phitagichuri,@KenyaPower_Care Kamangu near AIC church in Kikuyu constituency mlisema hamtarudisha transformer?,Jul-25,1
Gabriel Ogutu,@GabrielBaky,"@KenyaPower_Care kindly schedule for checks on a blown Transformer in Buruburu Phase 1, near Raphaels / Ol Musalala Rd area. No power since 7.45 pm last evening.",Jul-24,
Director trends. Ke,@ke_trends56573,"@KenyaPower_Care Kenya power, how can you explain this? 
There are no lights for almost 2 weeks at Ruai, Hurlighum area 3rd Avenue yet you picked the transformer",Jul-24,
Big man,@Bigmantannonane,2weeks ham fix transformer. @KenyaPower_Care  mnapenda attention,Jul-24,1
Justgits,@cornygits,We ave been in darkness for 2 days again juat this week after last week 48hrs of darkness  just here in Ruiru Kimbo behind Ola petro station..Why cant you guys Fix this Transformer Issue!! This is so frustrating!!,Jul-24,
Ngochi,@JaneJanengochi,"Look into the restoration of the transformer near ruiru Kihunguro ( the village and key west ,Mark Hotel building your staff carried it on Monday we are in total darkness what of the people with food in the freezer they go to waste at whose expense ?",Jul-24,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now,Jul-24,
walvine mach,@walvine,A/c 49213077  we have people around stealing transmission cables. How can I get In contact with your security team. The transformer will be vandalized soon.,Jul-24,1
Sebastian Kweyu,@SebastianKweyu,"@KenyaPower_Care no power 4th time in a day. the reason is one transformer was moved to God knows where. Any other action is not optimal, can KPLC listen and act. Account 32391278 Melonye road Ongata Rongai. The emergency no. only works when the ladies ar",Jul-24,
My Golden Balls,@GoldenBalls009,"Here at Kimbo, near St Dominic's catholic church. We usually have power interruption daily, unscheduled power interruption. Kindly resolve the transformer issue.

Bensam rd, Kimbo. Notable landmark : St Dominic's catholic church, Kimbo.",Jul-24,
Pier Agulu Ochayo Mach,@pieragulu,"@KenyaPower_Care Blackout in buru buru phase 1, possible transformer explosion. Acct. No. 37940107. Kindly assist.",Jul-24,
Georgina Mwangi,@Wairimumwangijo,@KenyaPower_Care transformer serving our area Buru Buru Farm 3rd avenue was carried by your staff on Monday for repairs. When will it be returned.,Jul-24,
walvine mach,@walvine,"Am a/c 49213077 . People known in the community have stolen distribution cables almost 10,000metrs. They vandalized the transformer and using the stolen cable to distribute for people illigly. We reported to a nearby police station and were found with the cables but worked out.",Jul-24,
DON K,@Donpedro254,"@KenyaPower_Care @KenyaPower 
We have been without power at Kihinguro Ruiru, since Monday. Do we have to pay to be reconnected? Isn't it a duty you have to serve? Leteni transformer, and let your staff at Ruiru learn to serve.",Jul-24,
Kibui,@charleskibui_,"@KenyaPower_Care having a transformer issue in Kayole Junction for more than the past two weeks without any concern, shows how much we need to #DrainTheSwamp.  We need to #OccupyKPLC",Jul-24,
My Golden Balls,@GoldenBalls009,"@KenyaPower_Care When will KPLC address chronic power loss in our area? We have a notorious Transformer which keeps blowing up.

location : Bensam road near St Dominic's catholic church Kimbo",Jul-23,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now,Jul-23,1
Millen Muyoka,@millen_muyoka,"We have been in darkness for 3 months now,. Busia county teso north sub county in angurai east ward a place called Elalai. I don't know what's up with the transformer. Kindly assist",Jul-23,
Elephant Jones,@Elephant_Johnes,"@KenyaPower_Care  Has it become a routine for power to go when needed most? We are in darkness while in the neighborhood there is power yet we share the transformer. There is no storm, is it on purpose? This is sabotage.",Jul-23,
Geoffrey Gicheru,@GGicherug,"@KenyaPower_Care Lucky Summer https://maps.app.goo.gl/ZtbieN7F5f4dsvAD8…

Hey
What happened to the transformer located here? 
Who removed it and why? 
How long are the people it used to serve gonna stay in darkness? 
Why was it removed without replaceme",Jul-23,
verah obunga,@obunga_verah,No power at tassia 1 estate. Goons destroy transformer at the gate of tassia 1 kindly assist we are in total darkness,Jul-23,1
Stone The Builder Refused,@MainaStevens,@KenyaPower_Care @KenyaPower @citizentvkenya @ntvkenya Can you explain why residents of Sunton Kasarani main street a populars area is being served by an ancient transformer despite the increase in buildings?Stima kupoteapotea kila mara despite it being n,Jul-23,
#include Izaak.h ,@DJaxxMChuki,@KenyaPower_Care how long does it take to replace a transformer? Because if you have to take a faulty one you should have a ready replacement. Now I have 24+ hours without power...,Jul-23,
Vinnymbutah@gmail.com Vinny Butah,@vinnymbuta79275,"Please it's 3 months now from transformer in my area,,,(kyuu, makueni county) was disconnected",Jul-23,
Carol Munga,@carol_munga,"@KenyaPower_Care @KenyaPower 

Hello KPLC,

This is yet another power report..

Kindly check on the following details/incident on the power outage..

Ref no: 11581920

Acc no. 23774256

Transformer/Station no: 15131..

They haven't had power since yesterd",Jul-23,2
Bhavesh Shah,@Bhavesh80415249,"@KenyaPower_Care a/C 15357197  . Ref: 11583141
Transformer fuses exposed and seem to have shorted.  No action taken since reported on 22/07/2024. Any feedback?",Jul-23,
fakeshaman,@akiniFab,"Hello @KenyaPower_Care it's been weeks since you took our transformer na hamja kuja kurudisha stima bado,kindly check on that location Kimbo matangi.",Jul-23,
Musema Kweli,@musemakweli_,"@KenyaPower_Care @KenyaPower @KEnergyministry ...We are reporting peacefully to you about Kenya power kitale branch,that is having a very incompetent customer service...a transformer at mitume dispensary has been failing for 2years now with some faces dow",Jul-23,
Wyc Mageto,@mageto_wyc,"There is an area called Nyanko in kisii county bobaracho ward. Most of the time there is no power, I don't know why the transformer there keeps exploding.  Please do a survey in the area and if it is overloading you add us another transformer. @KenyaPower_Care",Jul-22,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now.,Jul-22,
Javan,@javanemmanuel1,Rudisheni stima Njiru. You guys came and picked the transformer sasa mnataka mpatiwe pesa. Stop this incompetence.,Jul-22,
Louis Chege,@LouisC49409,"@KenyaPower_Care You guys are really not helping this country l, Transformer inachomeka kasarani stima akuna for 2night. Just the easiest job na hata hamuzi tuma technical team… coz you are probably waiting someone to compensate your effort to repair tr",Jul-22,
Louis Chege,@LouisC49409,"@KenyaPower_Care You guys are really not helping this country l, Transformer inachomeka kasarani stima akuna for 2nights…. Just the easiest job na hata hamuzi tuma technical team… coz you are probably waiting someone to compensate your effort to repai",Jul-22,
Louis Chege,@LouisC49409,"@KenyaPower_Care  You guys are really not helping this country l, Transformer inachomeka kasarani stima akuna for 2night. Just the easiest job na hata hamuzi tuma technical team… coz you are probably waiting someone to compensate your effort to repair t",Jul-22,
Eddie Owino,@owinoeddie,"@KenyaPower_Care, @KenyaPower, Kanyamlori shopping center has not had power for the last four months, how much longer are they gonna wait till you reinstall the transformer for them to have power. @JakobMze, kindly confirm the meter number...",Jul-22,
Nancy Wainaina,@nancie_wainaina,"@KenyaPower_Care
@KenyaPower
Since yesterday morning, there has been a power outage in Kinoo, Makutano due to a blown transformer.
@KenyaPower_Care
, Could you please provide information on your plans to repair the transformer and restore power to the are",Jul-22,
Jus.gracie,@graciousmungai,It's not an account please we don have a transformer and customer care at naivasha are very rude and arrogant,Jul-22,2
Nancy Wainaina,@nancie_wainaina,"@KenyaPower_Care @KenyaPower Since yesterday morning, there has been a power outage in Kinoo, Makutano due to a blown transformer. @KenyaPower_Care, Could you please provide information on your plans to repair the transformer and restore power to the area",Jul-22,
Icer Sol,@Okoyo_isa,Krind Area Ugunja Sub County Sigomre Ward We do not have electricity up-to-date since the transformer exploded 5 Months Ago ... Kindly @KenyaPower_Care we seek you to listen to us..Tunaumiaaa,Jul-22,
Khalid ®,@Eriqsville,"@KenyaPower_Care a transformer was stolen a few weeks ago at Sagana railways along kpcu rd and nothing has been done yet to restore power till now. When will the transformer be replaced since its been almost a month now.
14228889078",Jul-22,
Gor Odhiamboh,@Dr_GorOdhiamboh,"Hi, our transformer blew out last night. We are in darkness.  Kindly send help. Meter number 37186672665",Jul-22,
rhoda,@rhoda79458591,"@KenyaPower_Care I am a frustrated customer. The transformer serving my home in machakos was vandalized in April. We have received numerous promises since then, but no power till date.
Ref no. 11267643, 11368895,1157950.
I have accumulated the above refer",Jul-22,1
Jani Stores,@Jaani_ST,@KenyaPower_Care dispatch a team to sort out our transformer. Reference no. 11578755,Jul-22,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now,Jul-22,
Suzzy James,@SuzzyJames1,But @KPLC_Kenya_  send your team to work on the transformer it is in Kinoo area a place called Makutano......,Jul-22,
Rose Lynn Nyokabi,@RoseLynn74476,Mlibeba transformer huku home 4weeks ago.,Jul-22,
Y-Ranto The Minister,@YRanto,"How long does it take to replace a transformer, it's been over three weeks now bila stima apa kayole near Embakasi High school since it was hit by lightning during the heavy rains.",Jul-22,
David,@David8013316828,"Our transformer was taken two months ago and we have not been given any up-to-date. We've been living in blackout since then and this has given thieves the opportunity to steal from our shops. Please please we need a transformer at Ndegoriedo centre in Rongo constituency, Migori",Jul-22,
Shiku,@shikumungai_,"@KenyaPower_Care you guys were called very early yesterday to fix the transformer,till now,you've not showed up. Nini mbaya na nyinyi?",Jul-22,2
Feisal Mohamed,@FeisalM04582174,"Hallo..businesses around eastleigh bbs mall,yare arcade(former kbs garage),general waruinge street do not have power for the Last 8days and nobody seems to bother.i understand the issue is the transformer near bbs mall and Kplc is not bothered to fix or replace it..very annoying!",Jul-22,1
Alice wanja,@Alicewanja,"@KenyaPower_Care  someone pliiz come to our aid.Its been a week since you took a faulty transformer,been without power ever since a/c no.14245631800...kindly restore power",Jul-19,
Dancan Okari,@OkariDancan,@KenyaPower_Care carbacid feeder ex upland led by Titus is a total mess. An area like Magina near kago primary lost a transformer (2450) following kplcs maintainance. Its now almost 4 months without stable power in that area. Kindly help,Jul-19,
PixelVans.,@vansleek5,What have you guys done in Zimmerman carwash. You can and blew the transformer?  and then what,Jul-19,
Justin_Oy,@Justin_Oy_,"Hello, there is a power Problem in Difathas town, kirinyaga county. Next to the hospital, the transformer produced a loud sound and electricity went off since morning.

Please assist.",Jul-19,
Samwel..,@SRatemo,@KenyaPower_Care  sasa mnataka ni update meter na nmekuwa  nkiandika huku transformer ilianguka na hakuna stima,Jul-19,
Teresa,@Teresamaina93,"@KenyaPower_Care Mains power off, reference no. 11569712  from 0230pm this afternoon,  the 2nd  transformer from Ng'undu primary school. Near Emmanuel church. Affecting a few consumers only. Kindly assist.",Jul-19,
mzalendo,@Karoki3,"@KenyaPower_Care @KenyaPower , Your team took away a transformer in Ruiru, kimbo Prairie estate on Monday, its now Friday and no hope in sight. Please assist",Jul-19,
Christopher Mboya,@ChrisMboya,@KenyaPower_Care morning kplc how long does it take for you to replace a faulty transformer? It's been 2 weeks with electricity.,Jul-19,
Wilfred,@Wilfred77652001,@KenyaPower_Care My area lost Transformer to vandalism and still waiting for another one how are we going to update our accounts thanks,Jul-19,
peter pons,@PonsPeter,"@KenyaPower_Care it’s now 3 days without power along Tabere crescent and kangundo road in Kileleshwa. Our transformer has remained switched off. Your guy on the ground , mr mutia keep saying that whoever switched it off is responsible. Plse assist.",Jul-18,
hilda ngumo wamae,@hildawamae,"@KenyaPower_Care acc number 89233128 transformer blew neighbourhood has power, we don't, please check",Jul-18,
Beatrice Anyango,@BeatriceAn4869,"@KenyaPower_Care The transformer in Ichinga Polytechnic in Ywaya village in Ugunja constituency broke down in February 2023, we have made numerous complaints at your offices in Ugunja, siaya and nairobi but they have fallen on deaf ears.",Jul-18,
Phylliskamwende,@phylliskamwende,"@KenyaPower_Care kibomet area in transnzoia county,our transformer busted, since sunday upto date we have no power,, we have been calling and calling customer care nothing seroius going on,kplc we need your response.",Jul-18,
Mr. Man,@The_Afreakan,"@KenyaPower_Care It's been over 2 months since your Migori Branch promised to replace the transformer that you guys took in Sori, Karungu Area. No lights for 2 months. What's up?",Jul-18,
Joshua Okello,@okellojosh49,How long do you take to replace a transformer?..,Jul-18,
Calvin Smawl,@calvin_smawl,"@KenyaPower_Care Hello. The residents of Ekona centre, Etago Sub County, Kisii County have been without electricity for two weeks now. The transformer exploded a fortnight ago. Due to this, resetting and updating the token metres has been a problem. Pleas",Jul-18,
PEDDY SHIZ,@ShizPeddy38357,Hello....LIKUYANI SUBCOUNTY...NZOIA WARD ON your way to LWANDA PRIMARY SCHOOL  has no power since the transformer was taken away months ago by your officials after iliungua...since then we have had no power....kindly come to our aid please,Jul-18,
Daudi Mbari,@mbari_daudi,At kware shopping center theta ward juja our transformer blasts on Sunday and upto now we are in the darkness,Jul-18,
WEREH THE SON,@SITATI536,@KenyaPower_Care hapa Asasi academy hatuwezi kua na stima for a whole week buana? kila siku naona gari kwa transformer..,Jul-18,
Kelvin Mwaura,@KelvinM151,"@KenyaPower_Care @KenyaPower Mains power off, reference no. 11562962,  from 0338pm yesterday,  the 2nd  transformer from Ng'undu primary school. Near Emmanuel church. Affecting a few consumers only.Not restored. Eng.Kindly assist.",Jul-18,
TheMajani,@ChasiaMJ,"10mins ago been told it's restored, This is a too freuent problem and always solved by replacing a fuse at te Transformer. Can this problem be properly diagonized and resolved?",Jul-18,
Teresa Maina,@TeraMain52750,"@KenyaPower_Care  Mains power off, reference no. 11562962,  from 0338pm yesterday,  the 2nd  transformer from Ng'undu primary school. Near Emmanuel church. Affecting a few consumers only.Not restored.Kindly assist.",Jul-18,
Pio Gama Pundo,@PioGamaPundo,"@KenyaPower_Care @KenyaPower maumbwa nyinyi tnateseka utawala shooters siku tatu hakuna stima ju Transformer yenu za Umafi imelipuka

Tumeni crew Emmaus Court and Surrounding Mafala nyinyi

T Number- (213743)",Jul-18,
Jeremy,@JermaineJeremie,kplc ukunda office is messing up the people of kwale town. Mbona tulale kwa giza ndio fuse from the transformer ndio ikue changed?? Why? Kitu haimalizi hata 10 minutes kutoa na kurudisha. Why should things be this way,Jul-18,
Thierry Burayo,@TBurayo40345,Kplc please employ us we know how to repair transfomers,Jul-17,
Samwel..,@SRatemo,36470656 no power en now the transformer fell down...help coz its danger looming 2nd week running,Jul-17,
Calvin Smawl,@calvin_smawl,"@KenyaPower_Care Hello. The residents of Ekona centre, Etago Sub County, Kisii County have been without electricity for two weeks now. The transformer exploded a fortnight ago. Due to this, resetting and updating the token metres has been a problem. Pleas",Jul-17,
Calvin Smawl,@calvin_smawl,"@KenyaPower_Care Hello. The residents of Ekona centre, Etago Sub County, Kisii County have been without electricity for two weeks now. The transformer exploded a fortnight ago. Due to this, resetting and updating the token metres has been a problem. Pleas",Jul-17,1
Geofrey. G. G,@GeofreyG2,Please remember we can only update meters if we have power . Unfortunately parts of Theta ward in Juja have been without power for a very long time . To make it worse another transformer in a nearby area  blew on Saturday .Ruiru office is not helping in any way . Viva,Jul-17,
LABOUR INNOCENT,@InnocentLa64785,"Omoche Area, Homabay County
There is electricity shortage due to defect in the transformer, we are kindly requesting you to be of assistance to us since lots of people are disadvantaged, schools and hospitals within are experiencing a lot of challenges, please therefore come",Jul-17,
Teresa,@Teresamaina93,"@KenyaPower_Care Mains power off, reference no. 11562962,  from 0338pm this afternoon,  the 2nd  transformer from Ng'undu primary school. Near Emmanuel church. Affecting a few consumers only.Kindly assist.",Jul-17,
Everlyne Grad,@GradEverly36012,"@KenyaPower_Care  The transformer at  Siwar Primary school blew in April but you have never bothered to replace. 
Remember there are people  whose livelihood depends on power,  welders,  kinyozi people,  not to mention the secondary school there plus home",Jul-17,
DAMORKENYA,@dalmaswafula6,Kimbo matangi no power 7days now transformers removed,Jul-17,
Irene Hinga,@selianirene,"@KenyaPower_Care We have had no power since 10th July. Apparently, the reasons are attributed to illegal connections on the transformer that serves my area. Why should I be punished because of something that has nothing to do with me?Urgently sort it out.",Jul-17,
William Esikhaty,@esikhaty,"@KenyaPower_Care Ongata Rongai office attribute the power outage to the earthquake, yet this  perennial problem, common sense says, is caused by overloading. Especially the transformer at Helena Estate, to be precise! Do the necessary.",Jul-17,2
Achapa Cornelius,@AchapaCornelius,@KenyaPower_Care  how do you expect some of us to update our meters when we're in darkness? Your officers dismantled and carried away transformers without explaining to us the reason. Most parts of HURUMA in Mathare constituency are in darkness for the la,Jul-17,
William Esikhaty,@esikhaty,"@KenyaPower_Care Ongata Rongai office attribute the power outage to the earthquake, yet this  perennial problem, common sense says, is caused by overloading. Especially the transformer at Helena Estate, to be precise! Do the necessary.",Jul-17,2
Achapa Cornelius,@AchapaCornelius,@KenyaPower_Care  how do you expect some of us to update our meters when we're in darkness? Your officers dismantled and carried away transformers without explaining to us the reason. Most parts of HURUMA in Mathare constituency are in darkness for the la,Jul-17,
Kainga Chokera,@KaingaC,@KenyaPower_Care we've also had the same problem. An outage the last 4 days and it's at the transformer,Jul-17,
Riunge,@ARiunge,@KenyaPower_Care Account 41664348 no power since Friday as the transformer is shot on the yellow place. Reported to Ukunda office and followed up but no assistance received till now,Jul-17,
victor onyango,@victoro91477971,"I shared with you the account no. 3082245 Wilson kimani irungu. Your people came to the ground and said the transformer needs to be changed so, kindly check with your team on the report they submitted",Jul-17,
Nyambura Beatrice,@beatricekuhutha,"@KenyaPower_Care Power has not been restorer
We have food in the fridge and freezer it will go bad
We need to pump water 
The same way you removed fuses from the transformer come back and return them 
We are making losses in our businesses",Jul-17,
Nyambura Beatrice,@beatricekuhutha,"@KenyaPower_Care there is a power blackout in umoja 2 estate along moi drive
A kplc truck came on Monday the staff with kplc overalls went to the transformer removed fuse we don't have power
I reported on Monday power was restored
I reported here last nig",Jul-17,
Samwel..,@SRatemo,@KenyaPower_Care another day 36470656 no power en now the transformer fell down...help coz its danger looming...,Jul-17,1
Godfrey Okello,@gokello2011,"KPLC, what are you maintaining? from May 20th to date, we have no power due to a faulty transformer in Sega? Do you really care? Do you listen?",Jul-17,
citizens' Observer,@gilbertkemo,@KenyaPower_Care for two days there is not power in village in kitale. I am told the transformer in langas has issues.,Jul-17,
Obie,@jobguto,Hello. My metre no is 14286377610. There is no power at my place since yesterday at 7pm. All the 3 lines at my place have no power. The issue is from the transformer and needs to be sorted asap. Please look into this.,Jul-17,
"SURVIVOR OF POLICE BRUTALITY, HSC",@HOPEKINSG,"@StateHouseKenya @KenyaPower_Care @KenGenKenya  For the 3rd week, I still don't have power. Transformer was taken by the KPLC staffs to-date nothing has been done. Umoja III Amani Court meter no. 37180850655",Jul-17,
"SURVIVOR OF POLICE BRUTALITY, HSC",@HOPEKINSG,"For the 3rd week, I still don't have power. Transformer was taken by the KPLC staffs to-date nothing has been done. Umoja III Amani Court meter no. 37180850655",Jul-17,
Gemini Vaghela,@geminivaghela,@KenyaPower_Care no power in lavington ac no 3720780 pls don’t call. Check transformer at the corner of Mbaazi av and vanga rd,Jul-17,
Anne,@adraiamek,@KenyaPower_Care Transformer exploded and now power outage at Kileleshwa Police station x Kandara Rd.,Jul-17,1
ejk,@ejkamau,"@KenyaPower_Care ref 11528171, 11535353 Kenya Power Care ref 11528171 , 11535353 a whole week has passed since you took the transformer, plunging us into darkness with no communication from your team of when our power will be restored or an alternative is",Jul-16,1
Ja Adwen,@jadwen_kenya,There has been no power for two months since the transformer around Orero SDA in RANGWE Sub county failed. Treat it as urgent and respond.,Jul-16,
jeffrey omwange,@JeffreyOmw60551,"This are my frustration regarding the ongoing issue with the transformer. Since November 2023, we have been repeatedly told that the matter is under review. This prolonged inaction is unacceptable and indicative of total impunity on KPLC's part. Ref 10857382 account 36438533.",Jul-16,
Jackline Ngenia,@Jackline_Ngenia,Our transformer got spoilt. No action since Friday. And you are not picking calls. Surely. No: 14242796549,Jul-16,
Jemimah Wanjiku,@JemimahWanjik10,@KenyaPower_Care we have not had power in Kibichiku (Gatunyu area) since Monday last week following a transformer burst. Kindly action on this as it is affecting work.,Jul-16,
Ndevuless,@Kipchirrchirr,"Mean while a transformer at Kipsugur market , nandi central was struck by lightning last week, upto date schools, market and entire area is in darkness.",Jul-15,
Pastor Ben Wa Migate,@BenWaMigate,"@KenyaPower_Care , @WilliamsRuto , @Itumbiblog @citizentvkenya , @KTNNewsKE @ntvkenya We've been having avery serious problem of power outage in Umoja 3 G7 Mowlem since Sunday 7/7/2024, we've reported & nothing has been done. Moreover they took away trans",Jul-15,
Nyambura Beatrice,@beatricekuhutha,"@KenyaPower_Care there was a kenya power truck that came to umoja 2 estate along moi drive in the morning they disconnected everyone got into the transformer removed fuses now we do not have electricity 
Can it be sorted out like yesterday",Jul-15,
Teresa,@Teresamaina93,"@KenyaPower_Care Mains power off, reference no. 11558671,  from 1721pm this evening,  the 2nd  transformer from Ng'undu primary school. Near Emmanuel church.Kindly assist.",Jul-15,
Flevian Kanaiza,@FKanaiza,"@KenyaPower_Care This is the 6th days without power at Tola area, near Bob haris road, Kiambu. Kindly restore the transformer. We are really inconvenienced.",Jul-15,
@hv-20,@hv-20,Hello for how long does it take you guys to respond when  transformer fails...since March we are in darkness,Jul-15,
